State,Amount of Grants,Percent,Number of Grants,Lat,Lon
CA,21489264,22.00%,358,36.116203,-119.681564
TX,12501748,12.80%,295,31.054487,-97.563461
CO,11195849,11.40%,187,39.059811,-105.311104
CT,6921137,7.10%,189,41.597782,-72.755371
WA,6509995,6.70%,132,47.400902,-121.490494
MN,6129254,6.30%,294,45.694454,-93.900192
IL,5431184,5.50%,79,40.349457,-88.986137
DC,5250962,5.40%,38,38.897438,-77.026817
PA,3641512,3.70%,53,40.590752,-77.209755
NJ,3475264,3.60%,50,40.298904,-74.521011
LA,2470298,2.50%,67,31.169546,-91.867805
FL,2373431,2.40%,10,27.766279,-81.686783
NY,1578633,1.60%,32,42.165726,-74.948051
WI,1277000,1.30%,15,44.268543,-89.616508
NM,1083264,1.10%,10,34.840515,-106.248482
OR,861925,0.90%,24,44.572021,-122.070938
NC,728834,0.70%,28,35.630066,-79.806419
OK,699927,0.70%,9,35.565342,-96.928917
MI,577050,0.60%,12,43.326618,-84.536095
VT,515059,0.50%,57,44.045876,-72.710686
MA,502930,0.50%,9,42.230171,-71.530106
MS,501000,0.50%,3,32.741646,-89.678696
RI,449587,0.50%,18,41.680893,-71.51178
SD,447500,0.50%,2,44.299782,-99.438828
MO,238316,0.20%,26,38.456085,-92.288368
IA,210500,0.20%,2,42.011539,-93.210526
ME,205300,0.20%,9,44.693947,-69.381927
GA,149500,0.20%,16,33.040619,-83.643074
TN,98890,0.10%,15,35.747845,-86.692345
NE,86550,0.10%,2,41.12537,-98.268082
VA,73250,0.10%,2,37.769337,-78.169968
MD,69700,0.10%,4,39.063946,-76.802101
OH,65000,0.10%,2,40.388783,-82.764915
MT,55000,0.10%,3,46.921925,-110.454353
AZ,10000,0.00%,1,33.729759,-111.431221
